zp	lmass	Fu	e_Fu	Fr	e_Fr
  0.622	 11.56	 1.32277e+01	 1.85315e+00	 1.33177e+02	 5.04969e+00
  0.439	  9.05	 2.35471e+00	 6.66248e-02	 6.58028e+00	 6.53540e-02
  0.951	 10.42	 1.08735e+00	 5.93633e-02	 6.38709e+00	 1.21268e-01
  0.961	  9.56	 1.78825e+00	 7.11633e-02	 5.09598e+00	 9.04064e-02
  0.630	  8.40	 3.04816e-01	 1.28893e-02	 1.14442e+00	 5.37356e-02
  0.483	  9.08	 8.46422e-01	 2.90462e-02	 2.94681e+00	 6.19048e-02
  0.513	  9.05	 7.44234e-01	 3.92124e-02	 2.75544e+00	 5.40986e-02
  0.622	  7.77	 2.93990e-01	 7.26156e-04	 4.59980e-01	 1.48862e-02
  0.559	  8.47	 1.41888e-01	 1.23447e-02	 6.30736e-01	 1.52493e-02
  0.655	  9.13	 1.51097e+00	 3.39478e-02	 3.67272e+00	 4.15724e-02
  0.083	  6.86	 4.33925e-01	 4.64740e-02	 1.05322e+00	 3.28586e-02
  0.144	 10.08	 2.95699e+01	 2.53792e-01	 1.69293e+02	 1.46774e+00
  0.647	 10.50	 1.75295e+00	 6.22679e-02	 1.38495e+01	 3.45469e-01
  0.647	 10.64	 3.53879e+00	 9.27664e-02	 2.89666e+01	 5.54783e-01
  0.722	 10.73	 2.03274e+00	 8.62310e-02	 1.49309e+01	 6.24494e-02
  0.932	  8.47	 1.64262e-01	 5.26463e-03	 3.95225e-01	 6.89848e-03
  0.062	  7.67	 1.40079e+01	 2.98450e-01	 2.68271e+01	 2.82293e-01
  0.783	  9.56	 2.54176e+00	 9.80311e-02	 6.31117e+00	 7.74809e-01
  0.432	  9.88	 3.82514e+02	 0.00000e+00	 4.19402e+02	 0.00000e+00
  0.655	  8.22	 4.52468e-01	 1.12554e-02	 8.83264e-01	 2.50524e-02
  0.775	 10.09	 4.54828e+00	 9.11326e-02	 1.48568e+01	 2.76484e-01
  0.731	  9.53	 3.67359e+00	 1.03114e-01	 8.86154e+00	 2.69041e-01
  0.810	  8.98	 6.37278e-01	 2.54155e-02	 1.97586e+00	 1.30708e-02
  0.783	  8.83	 5.29146e-01	 2.66862e-02	 1.45885e+00	 9.87572e-02
  0.005	  8.55	 6.60548e-01	 7.60649e-02	 7.36910e-01	 1.53945e-01
  0.454	  8.01	 4.72956e-01	 6.35387e-03	 1.02643e+00	 3.83047e-02
  0.714	  9.62	 1.09048e+00	 1.06926e-01	 4.90798e+00	 1.13462e-01
  0.775	  8.69	 3.95508e-01	 1.56124e-02	 9.87028e-01	 4.72001e-02
  0.397	  9.17	 4.82661e-01	 1.08923e-02	 4.60641e+00	 6.37202e-02
  0.912	  8.85	 2.07425e-01	 2.12401e-02	 5.72124e-01	 2.68678e-02
  0.179	  8.75	 4.99345e+00	 6.35387e-02	 1.27743e+01	 2.55970e-02
  0.185	  9.55	 3.53895e+01	 2.00601e-01	 8.65059e+01	 1.09650e-01
  0.671	  9.52	 1.58022e+00	 5.02863e-02	 5.56036e+00	 4.11186e-01
  0.362	  8.81	 1.89092e-01	 2.86832e-02	 1.34754e+00	 6.95294e-02
  0.680	  9.72	 2.45970e+00	 6.33571e-02	 8.75592e+00	 6.09245e-01
  0.010	  5.72	 5.45147e-01	 1.08923e-02	 1.66632e+00	 1.67016e-02
  0.932	 10.00	 1.80908e+00	 4.30247e-02	 8.84828e+00	 4.08463e-02
  0.810	 10.16	 1.57935e+00	 2.39813e-01	 7.31541e+00	 1.00337e+00
  0.757	  9.26	 4.45929e-01	 1.39785e-02	 2.18783e+00	 2.99176e-01
  0.680	  9.91	 3.47358e+00	 5.88186e-02	 1.29876e+01	 9.27664e-02
  0.757	  9.96	 1.53252e+00	 5.39171e-02	 6.64092e+00	 1.17274e-01
  0.005	  5.95	 4.30926e-02	 7.26156e-04	 6.14869e-01	 1.19816e-02
  0.498	  8.59	 5.61889e-02	 2.14216e-02	 4.53020e-01	 8.80464e-02
  0.025	  9.46	 3.57961e+00	 3.09161e-01	 3.98068e+00	 7.54295e-01
  0.828	  8.74	 3.24468e-01	 1.25262e-01	 6.73528e-01	 6.86218e-02
  0.748	  8.44	 1.28873e-01	 1.45231e-02	 4.80261e-01	 5.68217e-02
  0.005	  5.71	 5.52060e-02	 3.63078e-04	 7.03311e-01	 2.36001e-03
  0.932	  9.17	 1.22436e+00	 3.46740e-02	 2.54324e+00	 1.00391e-01
  0.705	  9.50	 4.43140e-01	 1.90616e-02	 2.33918e+00	 2.85016e-02
  0.655	  8.99	 2.59422e-01	 3.30401e-02	 8.80286e-01	 7.42495e-02
  0.912	  8.48	 1.55771e-01	 3.63078e-02	 1.40928e-01	 1.37244e-01
  0.775	  9.10	 9.87881e-01	 4.57478e-02	 1.99107e+00	 5.35540e-02
  0.505	  9.24	 2.85433e-01	 6.00894e-02	 6.13653e-01	 1.01299e-01
  0.884	  8.43	 1.57531e-01	 1.54308e-02	 4.69863e-01	 1.54308e-02
  0.856	  9.25	 9.84522e-01	 2.59601e-02	 2.61333e+00	 2.46893e-02
  0.432	  9.03	 4.41757e-01	 1.25807e-01	 5.02398e-01	 1.95154e-01
  0.283	  8.03	 7.01009e-01	 2.06954e-02	 1.75374e+00	 2.86832e-02
  0.801	 10.22	 9.92648e-01	 3.32216e-02	 6.91177e+00	 4.02290e-01
  0.005	  6.02	 9.12517e-02	 1.45231e-03	 1.20501e+00	 1.14370e-02
