Seq	zspec	lmass	Fu	e_Fu	Fr	e_Fr
    1	          	 11.56	 1.32277e+01	 1.85315e+00	 1.33177e+02	 5.04969e+00
    2	          	  9.05	 2.35471e+00	 6.66248e-02	 6.58028e+00	 6.53540e-02
    3	          	 10.42	 1.08735e+00	 5.93633e-02	 6.38709e+00	 1.21268e-01
    4	          	 11.83	 1.37368e+02	 0.00000e+00	 1.14180e+03	 0.00000e+00
    5	          	 10.51	 2.05257e+01	 6.82587e-02	 1.35187e+01	 7.64279e-02
    6	          	 10.60	 1.05358e+00	 4.28432e-02	 7.23473e+00	 2.60327e-01
    7	          	  9.56	 1.78825e+00	 7.11633e-02	 5.09598e+00	 9.04064e-02
    8	          	  9.88	 1.61561e+00	 2.33822e-01	 2.74054e+00	 1.81721e-01
    9	          	  8.40	 3.04816e-01	 1.28893e-02	 1.14442e+00	 5.37356e-02
   10	          	  8.81	 7.17155e-01	 4.70186e-02	 1.54718e+00	 1.28893e-02
   11	          	 10.14	 9.95829e-01	 1.23447e-02	 1.87408e+00	 2.92278e-02
   12	          	  9.63	 6.50545e-01	 1.22902e-01	 2.09916e+00	 1.11283e-01
   13	          	  9.73	 5.83644e-01	 7.60649e-02	 9.52989e-01	 8.78649e-02
   14	          	  9.08	 8.46422e-01	 2.90462e-02	 2.94681e+00	 6.19048e-02
   15	          	  9.78	 5.00140e-01	 4.41140e-02	 7.94535e-01	 5.26463e-02
   16	          	  9.72	 1.62212e+00	 2.57785e-02	 1.95690e+00	 4.06647e-02
   17	          	  9.39	 1.00549e+00	 2.15124e-01	 1.29564e+00	 9.11326e-02
   18	          	 10.77	 2.64936e+02	 1.00987e+01	 6.14393e+01	 1.91814e+00
   19	          	  9.43	 8.49348e-01	 4.24801e-02	 1.49579e+00	 1.68105e-01
   20	          	  8.96	 4.08913e-01	 5.77294e-02	 4.93496e-01	 4.19355e-02
   21	          	  9.28	 7.61396e-01	 3.55816e-02	 1.70712e+00	 4.48401e-02
