zp	lmass	Fu	e_Fu	Fr	e_Fr
  4.212	  9.98	 1.19372e+00	 3.26770e-02	 5.27218e+00	 6.60802e-02
  3.465	  9.71	 4.37451e-01	 8.71387e-03	 5.77153e-01	 1.81539e-03
  3.102	  9.10	 1.72884e-01	 8.71387e-03	 2.66263e-01	 2.90462e-03
  3.421	  9.63	 2.83264e-01	 7.62464e-03	 5.54663e-01	 9.44003e-03
  3.206	  9.39	 3.29515e-01	 9.07695e-04	 4.92436e-01	 5.62771e-03
  3.399	  9.74	 2.73478e-01	 4.35694e-03	 6.11580e-01	 4.86525e-02
  3.764	  9.54	 4.87091e-01	 6.42648e-02	 6.55657e-01	 2.36001e-02
  3.555	 10.35	 7.25931e-02	 4.13909e-02	 6.44496e-01	 1.57394e-01
  3.764	  9.46	 3.57512e-01	 5.75479e-02	 5.14108e-01	 4.70186e-02
  3.312	  9.74	 1.88671e-01	 2.14216e-02	 4.46593e-01	 3.35847e-02
  3.421	  9.86	 7.54309e-01	 4.82894e-02	 1.14996e+00	 2.79570e-02
  3.983	 10.50	 8.89029e-02	 5.64586e-02	 7.03464e-01	 2.32551e-01
  3.082	  9.64	 6.09299e-01	 5.80925e-03	 8.98433e-01	 1.28893e-02
  3.082	  9.77	 1.83333e-01	 3.99386e-03	 3.72543e-01	 7.91510e-02
  3.001	 10.02	 4.38696e-01	 4.81078e-02	 1.10135e+00	 6.51725e-02
  3.555	 10.19	 3.75575e-01	 3.64893e-02	 1.02798e+00	 1.42145e-01
  3.443	  9.77	 3.67954e-01	 2.92278e-02	 6.47285e-01	 1.08923e-02
  3.312	  9.54	 3.68473e-01	 4.35694e-03	 7.43166e-01	 2.30555e-02
  3.206	  9.56	 8.26355e-01	 6.35387e-03	 1.10644e+00	 1.81539e-03
  3.290	  9.48	 3.87379e-01	 2.25108e-02	 5.49486e-01	 1.74277e-02
  3.102	  9.80	 1.36881e-01	 1.34339e-02	 3.90084e-01	 1.90616e-02
  3.206	  9.09	 3.17173e-01	 1.30708e-02	 3.78033e-01	 5.26463e-03
  3.601	  9.81	 2.04447e-01	 2.30555e-02	 5.59714e-01	 1.57939e-02
  3.164	  9.55	 3.39620e-01	 1.92431e-02	 5.72926e-01	 1.36154e-02
  3.061	  9.78	 3.29752e-01	 2.92278e-02	 7.17486e-01	 3.46740e-02
  3.421	  9.48	 2.58407e-01	 1.12554e-02	 4.07468e-01	 7.08002e-03
