zp	lmass	Fu	e_Fu	Fr	e_Fr
  1.000	  8.73	 7.31443e-01	 1.85170e-02	 1.61240e+00	 4.95602e-02
  1.061	 11.16	 3.37164e+00	 7.33055e-01	 2.12393e+01	 2.40884e+00
  1.554	 10.48	 8.51687e-01	 7.02556e-02	 3.92585e+00	 1.56305e-01
  1.822	 10.33	 2.19656e-01	 6.58987e-02	 1.66281e+00	 3.27496e-01
  1.312	  9.01	 6.16659e-01	 4.73817e-02	 1.68466e+00	 1.54853e-01
  1.382	  9.54	 7.47240e-01	 3.72155e-02	 2.32260e+00	 1.67016e-02
  1.406	 10.09	 1.25951e+00	 1.08742e-01	 3.87786e+00	 1.32342e-01
  1.051	  9.14	 6.82191e-01	 1.25625e-01	 1.38154e+00	 1.91342e-01
  1.592	  9.70	 1.01277e+00	 7.00741e-02	 2.45366e+00	 3.22413e-01
  1.312	  9.98	 6.04870e-01	 3.40386e-01	 1.79585e+00	 5.55691e-01
  1.134	  7.75	 1.52155e-01	 3.75786e-02	 1.21094e-01	 1.41600e-02
  1.981	  8.96	 2.31712e-01	 2.90462e-03	 2.88337e-01	 6.17233e-02
  1.358	  9.20	 7.39703e-01	 2.30555e-02	 1.34992e+00	 7.26156e-03
  1.981	 10.52	 7.93242e-01	 1.31071e-01	 3.07237e+00	 3.73607e-01
  1.766	  9.60	 7.25484e-02	 1.32523e-02	 2.58764e-01	 1.39059e-01
  1.030	  9.80	 9.92804e-01	 1.75548e-01	 4.08873e+00	 5.94177e-01
  1.221	  9.47	 6.85415e-01	 1.33250e-01	 2.26095e+00	 2.03868e-01
  1.210	  9.16	 4.55707e-01	 1.06745e-01	 1.26414e+00	 1.73733e-01
  1.382	  9.34	 2.72623e-01	 4.08463e-02	 8.89120e-01	 2.90462e-02
  1.645	  9.15	 1.76812e-01	 3.08616e-02	 4.14719e-01	 4.84709e-02
  1.618	  9.86	 6.31618e-01	 4.93786e-02	 2.25810e+00	 1.17637e-01
  1.966	  8.88	 2.83910e-01	 2.08770e-02	 5.22233e-01	 4.88340e-02
  1.061	  8.57	 2.84022e-01	 6.02710e-02	 4.64950e-01	 5.71848e-02
  1.981	 10.68	 1.29979e+00	 1.69013e-01	 5.28547e+00	 4.23894e-01
  1.822	  9.90	 8.43227e-02	 3.66709e-02	 4.14065e-01	 1.25262e-01
  1.418	  9.23	 5.34614e-01	 2.68678e-02	 1.01404e+00	 1.48862e-02
  1.188	  8.86	 8.33860e-02	 5.44617e-04	 1.44621e-01	 1.65201e-02
  1.780	  8.09	 1.45339e-01	 2.21478e-02	 1.45059e-01	 5.33725e-02
  1.908	  9.95	 3.20175e-01	 6.88033e-02	 1.62713e+00	 1.05474e-01
  1.430	  9.29	 6.46235e-01	 4.22986e-02	 1.42579e+00	 2.16031e-02
  1.061	 10.25	 5.61377e-01	 1.98241e-01	 3.98892e+00	 1.02479e+00
  1.370	  8.58	 1.38988e-01	 4.30247e-02	 3.34526e-01	 4.90155e-02
  1.922	  9.17	 5.82010e-01	 9.91203e-02	 7.13365e-01	 9.54895e-02
  1.061	  9.07	 6.27257e-01	 1.27259e-01	 1.26698e+00	 2.19118e-01
  1.406	  9.92	 1.09678e+00	 9.24034e-02	 2.91167e+00	 8.24187e-02
  1.937	  8.95	 2.32675e-01	 7.00741e-02	 2.90092e-01	 4.33878e-02
  1.605	  8.83	 3.24747e-01	 1.70647e-02	 6.10225e-01	 1.28348e-01
  1.406	 10.98	 1.94501e+00	 0.00000e+00	 1.43410e+01	 0.00000e+00
  1.529	  8.83	 3.94524e-01	 1.14370e-02	 4.73174e-01	 5.44617e-03
  1.266	  8.10	 3.33352e-01	 4.12094e-02	 1.50211e-01	 2.06954e-02
  1.289	  8.34	 2.30002e-01	 8.35080e-03	 4.06143e-01	 3.55816e-02
  1.430	  9.42	 3.78847e-01	 4.24801e-02	 9.48167e-01	 2.83201e-02
  1.454	  9.32	 2.35600e-01	 4.24801e-02	 6.24226e-01	 3.43109e-02
  1.418	  9.09	 6.61434e-01	 2.25108e-02	 1.00561e+00	 1.08923e-02
  1.255	  9.12	 3.14070e-01	 2.19662e-02	 9.65813e-01	 2.10585e-02
  1.808	  8.70	 1.42862e-01	 4.72001e-03	 2.18719e-01	 9.38557e-02
  1.406	 10.37	 3.71970e-01	 5.91817e-02	 2.76848e+00	 1.16367e-01
  1.406	 10.47	 3.26863e-01	 6.66248e-02	 2.61961e+00	 4.26254e-01
  1.358	  9.42	 6.16812e-01	 6.94750e-01	 1.78243e+00	 3.84318e-01
  1.671	  9.43	 3.14100e-01	 3.55816e-02	 1.07695e+00	 8.80464e-02
  1.406	  9.50	 2.02246e+00	 7.06187e-02	 3.54492e+00	 3.77601e-02
  1.605	  8.70	 3.54436e-01	 3.25318e-01	 4.99748e-01	 2.12401e-01
  1.030	  9.59	 1.21190e+00	 2.42899e-01	 2.82000e+00	 4.14454e-01
  1.255	  8.61	 3.02939e-01	 3.68524e-02	 5.43103e-01	 5.48248e-02
  1.618	  9.27	 1.82908e-01	 1.73914e-01	 3.92469e-01	 7.17261e-01
  1.541	  8.60	 1.91390e-01	 9.98465e-03	 2.08586e-01	 1.88801e-02
  1.618	  8.79	 7.95736e-01	 2.64865e-01	 5.93658e-01	 3.19690e-01
  1.658	  9.89	 6.11877e-01	 8.49603e-02	 1.72146e+00	 1.72825e-01
  1.382	  9.65	 8.79963e-01	 6.71694e-02	 2.31503e+00	 3.24955e-02
  1.442	  9.82	 1.78016e-01	 7.11633e-02	 8.99954e-01	 2.35093e-01
  1.020	  9.99	 1.92757e+00	 3.16786e-01	 6.23703e+00	 7.26701e-01
  1.382	  8.53	 1.42850e-01	 7.98772e-03	 2.20944e-01	 3.81232e-03
  1.479	 10.47	 1.72479e+00	 1.18908e-01	 6.48599e+00	 1.84444e-01
  1.323	  9.25	 4.69010e-01	 3.99386e-02	 1.03018e+00	 2.50524e-02
  1.592	 10.94	 3.03077e+00	 3.83592e-01	 1.29550e+01	 9.93926e-01
  1.418	 10.01	 1.01557e+00	 8.20556e-02	 3.00295e+00	 9.98465e-02
  1.504	  8.92	 3.38058e-01	 2.37816e-02	 4.96818e-01	 1.83354e-02
  1.300	  8.42	 1.75376e-01	 9.07695e-03	 3.18350e-01	 1.88801e-02
  1.113	  8.62	 7.31820e-02	 3.26770e-03	 1.27454e-01	 1.16185e-02
  1.370	  8.95	 1.17970e-01	 2.75939e-02	 2.05482e-01	 1.96062e-02
  1.300	  9.86	 1.56715e-01	 2.10222e-01	 6.79559e-01	 2.66681e-01
  1.951	  8.84	 6.96885e-01	 1.13280e-01	 7.59519e-01	 1.85896e-01
  1.580	  8.12	 5.52797e-01	 5.20291e-01	 6.53319e-01	 3.80869e-01
  1.358	  8.87	 1.25819e+00	 1.18472e+00	 1.48529e+00	 7.11451e-01
  1.504	  8.94	 1.77767e-01	 2.92278e-02	 3.48179e-01	 3.52186e-02
  1.266	  9.71	 1.32288e-01	 3.43109e-02	 6.71418e-01	 1.07290e-01
  1.041	 10.19	 4.63175e-01	 1.15277e-01	 3.22872e+00	 3.72700e-01
  1.430	  9.23	 6.39504e-01	 3.21324e-02	 1.24605e+00	 1.36154e-02
  1.908	  8.58	 4.83870e-01	 2.65047e-02	 5.16656e-01	 7.80618e-02
  1.289	  9.20	 4.29035e-01	 3.86678e-02	 8.32338e-01	 1.77908e-02
  1.671	  8.66	 1.52730e-01	 4.28432e-02	 2.07812e-01	 8.85910e-02
  1.266	 10.04	 6.60236e-01	 1.37062e-01	 2.24596e+00	 6.78774e-01
  1.418	  9.80	 1.69217e+00	 1.07108e-01	 3.60600e+00	 6.77141e-02
  1.645	  8.91	 1.18689e-01	 1.27077e-02	 2.77239e-01	 6.64433e-02
  1.394	  9.40	 6.09822e-01	 4.01201e-02	 1.48536e+00	 2.03324e-02
  1.725	  9.19	 7.79365e-01	 8.75018e-02	 1.54693e+00	 3.06801e-01
  1.504	  8.72	 1.66088e-01	 2.19662e-02	 2.34778e-01	 4.90155e-02
  1.618	  9.19	 7.27322e-01	 3.37663e-02	 1.06382e+00	 9.07695e-03
  1.752	 10.01	 5.75624e-01	 4.73817e-02	 1.78335e+00	 2.44715e-01
  1.808	  9.05	 4.13680e-01	 6.89848e-02	 6.21764e-01	 1.00936e-01
  1.406	  9.50	 2.30117e-01	 2.50705e-01	 9.23573e-01	 4.85617e-01
  1.000	 10.02	 1.78347e+00	 1.90979e-01	 6.10356e+00	 3.63804e-01
  1.632	  8.71	 1.75249e-01	 1.28893e-02	 3.47627e-01	 2.72309e-03
  1.618	  8.44	 1.54026e-01	 1.24899e-01	 1.96624e-01	 9.78495e-02
  1.951	 10.03	 6.14662e-01	 2.90462e-02	 2.14636e+00	 7.66095e-02
  1.541	 10.00	 9.24063e-01	 9.93018e-02	 2.36111e+00	 3.90309e-01
  1.156	  9.11	 7.82361e-01	 1.19271e-01	 1.50726e+00	 1.99511e-01
  1.394	 10.57	 5.43118e-01	 7.53387e-02	 3.94521e+00	 2.80659e-01
  1.922	  9.04	 1.65370e-01	 2.19662e-02	 2.54345e-01	 5.13755e-02
  1.996	  8.91	 1.32348e-01	 7.98772e-02	 1.93236e-01	 5.37356e-02
  1.529	 10.66	 1.99194e+00	 1.33794e-01	 9.54485e+00	 2.73035e-01
  1.346	  9.31	 5.84552e-01	 4.84709e-02	 1.34113e+00	 1.23447e-02
  1.312	  9.86	 6.72943e-01	 3.20053e-01	 1.50175e+00	 3.77964e-01
  1.808	 10.29	 1.35354e+00	 1.11647e-01	 4.38820e+00	 5.64223e-01
  1.808	  9.83	 1.20797e+00	 7.24341e-02	 2.68481e+00	 5.25737e-01
  1.491	 10.54	 2.13329e-01	 3.10432e-02	 2.07262e+00	 1.55034e-01
  1.671	  9.09	 3.58177e-01	 6.80771e-02	 4.68694e-01	 4.91971e-02
  1.632	  8.93	 1.87225e-01	 1.96062e-02	 3.63906e-01	 1.40874e-01
  1.277	  8.30	 3.06692e-01	 1.43416e-02	 3.24951e-01	 1.76093e-02
  1.491	  9.28	 4.31014e-01	 6.09608e-01	 1.31032e+00	 3.51278e-01
  1.382	  8.77	 1.77714e-01	 2.12401e-02	 3.33643e-01	 2.34185e-02
  1.323	  9.57	 1.00512e+00	 3.48555e-02	 2.20452e+00	 1.97878e-02
  1.922	  8.76	 1.63374e-01	 2.01508e-02	 2.11059e-01	 1.67016e-02
  1.199	  8.72	 3.95773e-01	 2.92278e-02	 7.34445e-01	 2.83201e-02
  1.406	  8.40	 1.75448e-01	 2.17847e-03	 2.20854e-01	 2.06954e-02
  1.346	  9.92	 4.13005e+00	 1.20542e-01	 9.55654e+00	 1.02570e-01
  1.312	  9.72	 1.24699e+00	 5.79109e-02	 3.00486e+00	 3.84863e-02
  1.418	  9.17	 5.65893e-01	 2.63232e-02	 1.15969e+00	 4.72001e-03
  1.335	  9.71	 1.65979e+00	 8.11479e-02	 3.94259e+00	 3.66709e-02
  1.937	  9.87	 4.51970e-01	 3.30401e-02	 1.09592e+00	 1.37788e-01
  1.618	  9.39	 1.56858e-01	 1.42871e-01	 3.67428e-01	 3.43835e-01
  1.516	  9.47	 2.37241e-01	 2.70493e-02	 3.48831e-01	 1.53582e-01
  1.300	  9.50	 3.05842e+00	 4.65466e-01	 3.00220e+00	 1.06836e+00
  1.041	 10.01	 1.67352e+00	 3.45106e-01	 5.16671e+00	 8.61584e-01
  1.335	  8.45	 1.26913e-01	 2.17847e-03	 2.56827e-01	 7.98772e-03
  1.346	  8.94	 3.42938e-01	 9.25849e-03	 4.84862e-01	 1.52493e-02
  1.645	  9.46	 5.03085e-02	 6.15417e-02	 2.71996e-01	 1.69557e-01
  1.289	  9.72	 1.82699e+00	 1.21087e-01	 4.53786e+00	 1.28893e-01
  1.671	  8.49	 3.18388e-01	 4.72001e-02	 4.19028e-01	 1.05837e-01
  1.554	  9.17	 4.73192e-01	 3.06801e-02	 1.01832e+00	 1.05293e-02
  1.394	 10.79	 7.81478e-01	 1.71917e-01	 6.56663e+00	 6.18503e-01
  1.996	  9.23	 3.45936e-01	 2.61416e-02	 5.90583e-01	 9.13141e-02
  1.442	  9.30	 2.81984e-02	 1.48862e-02	 1.44000e-01	 5.60956e-02
  1.221	  8.96	 5.50041e-01	 7.37048e-02	 7.13278e-01	 1.24173e-01
  1.605	  9.16	 3.89354e-01	 2.66862e-02	 7.97632e-01	 9.31295e-02
  1.266	  8.20	 1.59941e-01	 1.08923e-02	 3.06105e-01	 2.77755e-02
  1.618	  8.92	 2.04872e-01	 1.89527e-01	 2.71020e-01	 6.13420e-01
  1.836	  9.60	 9.97967e-01	 1.06563e-01	 2.18644e+00	 3.71066e-01
  1.671	 10.02	 1.30137e+00	 1.45776e-01	 3.20518e+00	 3.08979e-01
  1.981	  8.83	 2.34141e-01	 1.39785e-02	 5.71906e-01	 1.16911e-01
  1.766	  8.72	 1.28784e-01	 8.16926e-03	 2.60006e-01	 3.90309e-02
  1.221	  9.13	 1.07695e-01	 2.21478e-02	 2.33472e-01	 5.84556e-02
  1.394	 10.21	 1.72116e-01	 8.20556e-02	 1.08204e+00	 4.34423e-01
  1.394	 10.11	 1.86113e+00	 1.18908e-01	 5.09740e+00	 1.18545e-01
  1.020	  9.11	 9.89714e-01	 1.09468e-01	 1.86807e+00	 2.04776e-01
  1.442	  8.83	 2.69591e-01	 9.44003e-03	 3.64309e-01	 5.93633e-02
  1.266	  8.48	 6.08689e-01	 1.13462e-01	 9.09376e-01	 1.38696e-01
  1.335	  8.84	 7.80266e-02	 1.81539e-03	 8.92646e-02	 1.77908e-02
  1.491	  9.36	 3.82285e-01	 3.50370e-02	 9.50114e-01	 3.75786e-02
  1.312	  9.40	 6.07706e-01	 6.48094e-02	 1.33301e+00	 4.22986e-02
  1.030	  8.72	 5.64085e-01	 6.42648e-02	 1.01095e+00	 1.61570e-01
  1.567	  9.25	 5.65400e-01	 3.15878e-02	 9.41650e-01	 3.12247e-02
  1.061	  8.48	 1.95954e-01	 2.72309e-02	 4.07602e-01	 3.10432e-02
  1.289	 10.64	 6.85194e-01	 1.41782e-01	 5.08977e+00	 6.15599e-01
  1.430	  9.22	 5.71790e-01	 2.72309e-02	 9.59793e-01	 1.63385e-02
  1.382	 10.69	 4.12903e-01	 8.45972e-02	 4.05783e+00	 3.31309e-01
  1.466	  9.55	 1.27673e+00	 5.48248e-02	 2.39031e+00	 3.34032e-02
  1.541	  9.22	 1.05996e-01	 9.07695e-03	 2.52077e-01	 9.45818e-02
  1.430	  9.10	 1.09697e-01	 4.22986e-02	 5.95245e-01	 1.08197e-01
  1.605	  9.60	 1.21732e+00	 5.77294e-02	 2.42031e+00	 2.19662e-02
